temp,flame
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
25.00,0
25.00,0
25.00,0
25.00,0
25.00,0
25.00,0
26.00,1
26.00,1
26.00,1
26.00,1
27.00,1
27.00,1
27.00,1
27.00,1
27.00,1
27.00,1
27.00,1
28.00,1
28.00,1
28.00,1
28.00,1
28.00,1
28.00,1
28.00,1
29.00,1
29.00,1
29.00,1
29.00,1
29.00,1
29.00,1
30.00,1
30.00,1
30.00,1
30.00,1
30.00,1
30.00,1
29.00,1
29.00,1
29.00,1
29.00,1
28.00,1
28.00,1
28.00,1
28.00,1
28.00,1
27.00,1
27.00,0
27.00,0
27.00,0
27.00,0
27.00,0
27.00,0
25.00,0
25.00,0
25.00,0
25.00,0
25.00,0
25.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
23.00,0
23.00,0
23.00,0
23.00,0
23.00,0
22.00,0
22.00,0
22.00,0
22.00,0
22.00,0
21.00,0
21.00,0
21.00,0
21.00,0
21.00,0
21.00,0
20.00,0
20.00,0
20.00,0
20.00,0
20.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
19.00,0
20.00,0
20.00,0
20.00,0
20.00,0
20.00,0
21.00,0
21.00,0
21.00,0
21.00,0
21.00,0
21.00,0
22.00,0
22.00,0
22.00,0
22.00,0
22.00,0
23.00,0
23.00,0
23.00,0
23.00,0
23.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
24.00,0
